sale_time,purchaser_gender
2013-01-07 02:14:07,female
2013-01-07 02:57:53,male
2013-01-07 02:59:49,female
2013-01-07 03:02:53,male
2013-01-07 03:27:36,female
2013-01-07 03:41:52,male
2013-01-07 03:48:59,female
2013-01-07 04:04:57,female
2013-01-07 04:09:58,female
2013-01-07 04:15:43,male
2013-01-07 04:19:37,male
2013-01-07 04:22:55,female
2013-01-07 04:24:47,female
2013-01-07 04:25:19,female
2013-01-07 04:33:31,female
2013-01-07 04:38:26,female
2013-01-07 04:41:46,male
2013-01-07 04:42:20,female
2013-01-07 04:44:06,female
2013-01-07 04:52:00,female
2013-01-07 04:55:19,male
2013-01-07 04:58:34,female
2013-01-07 04:59:26,female
2013-01-07 05:07:35,male
2013-01-07 05:11:20,female
2013-01-07 05:11:51,male
2013-01-07 05:12:34,male
2013-01-07 05:13:18,male
2013-01-07 05:16:43,female
2013-01-07 05:16:53,female
2013-01-07 05:17:08,female
2013-01-07 05:17:39,female
2013-01-07 05:18:25,female
2013-01-07 05:19:55,female
2013-01-07 05:25:29,female
2013-01-07 05:32:58,male
2013-01-07 05:33:53,female
2013-01-07 05:38:55,female
2013-01-07 05:41:21,male
2013-01-07 05:52:31,female
2013-01-07 05:56:18,female
2013-01-07 06:01:48,male
2013-01-07 06:09:13,female
2013-01-07 06:09:41,female
2013-01-07 06:11:22,female
2013-01-07 06:12:35,female
2013-01-07 06:13:02,female
2013-01-07 06:19:55,female
2013-01-07 06:22:56,male
2013-01-07 06:33:00,male
2013-01-07 06:33:36,female
2013-01-07 06:38:30,male
2013-01-07 06:38:42,male
2013-01-07 06:53:32,female
2013-01-07 06:55:48,male
2013-01-07 06:56:01,female
2013-01-07 06:58:51,male
2013-01-07 06:59:01,male
2013-01-07 06:59:02,female
2013-01-07 06:59:10,male
2013-01-07 06:59:21,female
2013-01-07 07:03:13,female
2013-01-07 07:03:32,female
2013-01-07 07:04:06,female
2013-01-07 07:07:06,male
2013-01-07 07:09:57,female
2013-01-07 07:13:59,female
2013-01-07 07:14:02,female
2013-01-07 07:16:47,female
2013-01-07 07:20:31,male
2013-01-07 07:20:50,female
2013-01-07 07:21:28,female
2013-01-07 07:24:20,female
2013-01-07 07:32:36,female
2013-01-07 07:32:41,female
2013-01-07 07:32:56,female
2013-01-07 07:38:41,male
2013-01-07 07:40:22,male
2013-01-07 07:41:00,female
2013-01-07 07:41:19,female
2013-01-07 07:43:32,female
2013-01-07 07:48:24,female
2013-01-07 07:52:03,male
2013-01-07 07:52:04,male
2013-01-07 08:00:14,female
2013-01-07 08:01:25,female
2013-01-07 08:02:22,female
2013-01-07 08:09:02,male
2013-01-07 08:09:48,female
2013-01-07 08:13:55,female
2013-01-07 08:14:55,male
2013-01-07 08:15:17,female
2013-01-07 08:15:58,male
2013-01-07 08:19:31,female
2013-01-07 08:21:29,female
2013-01-07 08:24:23,male
2013-01-07 08:26:01,female
2013-01-07 08:26:31,male
2013-01-07 08:35:18,female
2013-01-07 08:45:44,female
2013-01-07 08:46:57,male
2013-01-07 08:47:49,female
2013-01-07 08:49:51,female
2013-01-07 08:50:39,female
2013-01-07 08:53:26,male
2013-01-07 08:55:30,male
2013-01-07 08:59:05,female
2013-01-07 09:02:15,female
2013-01-07 09:07:17,male
2013-01-07 09:09:28,female
2013-01-07 09:10:21,female
2013-01-07 09:11:07,male
2013-01-07 09:11:52,female
2013-01-07 09:11:58,male
2013-01-07 09:17:54,female
2013-01-07 09:18:53,female
2013-01-07 09:21:09,female
2013-01-07 09:21:31,female
2013-01-07 09:22:59,male
2013-01-07 09:23:07,male
2013-01-07 09:25:03,female
2013-01-07 09:26:02,female
2013-01-07 09:30:50,male
2013-01-07 09:33:44,female
2013-01-07 09:37:25,female
2013-01-07 09:37:35,female
2013-01-07 09:39:04,female
2013-01-07 09:44:15,male
2013-01-07 09:44:57,male
2013-01-07 09:47:10,male
2013-01-07 09:47:16,female
2013-01-07 09:47:31,female
2013-01-07 09:49:45,female
2013-01-07 09:50:51,female
2013-01-07 09:51:14,female
2013-01-07 09:52:08,female
2013-01-07 09:52:44,male
2013-01-07 09:53:22,female
2013-01-07 09:57:19,male
2013-01-07 09:57:59,female
2013-01-07 09:58:14,female
2013-01-07 09:59:44,male
2013-01-07 10:03:30,female
2013-01-07 10:03:33,female
2013-01-07 10:03:37,female
2013-01-07 10:04:49,female
2013-01-07 10:11:06,female
2013-01-07 10:12:42,female
2013-01-07 10:17:55,male
2013-01-07 10:19:00,female
2013-01-07 10:21:20,female
2013-01-07 10:22:43,female
2013-01-07 10:23:07,male
2013-01-07 10:24:11,female
2013-01-07 10:24:29,female
2013-01-07 10:25:34,female
2013-01-07 10:26:10,female
2013-01-07 10:29:00,male
2013-01-07 10:31:38,female
2013-01-07 10:31:52,female
2013-01-07 10:32:28,female
2013-01-07 10:36:17,male
2013-01-07 10:36:26,male
2013-01-07 10:39:43,male
2013-01-07 10:39:55,female
2013-01-07 10:42:36,female
2013-01-07 10:42:42,female
2013-01-07 10:48:44,male
2013-01-07 10:49:15,male
2013-01-07 10:51:19,female
2013-01-07 10:55:57,female
2013-01-07 10:58:47,female
2013-01-07 11:00:22,female
2013-01-07 11:04:46,female
2013-01-07 11:06:48,male
2013-01-07 11:09:05,female
2013-01-07 11:09:32,male
2013-01-07 11:10:28,female
2013-01-07 11:12:13,female
2013-01-07 11:14:06,male
2013-01-07 11:19:45,female
2013-01-07 11:20:19,female
2013-01-07 11:21:45,female
2013-01-07 11:27:16,male
2013-01-07 11:27:56,male
2013-01-07 11:28:42,female
2013-01-07 11:29:31,male
2013-01-07 11:30:16,male
2013-01-07 11:31:01,female
2013-01-07 11:34:21,male
2013-01-07 11:36:43,female
2013-01-07 11:37:14,female
2013-01-07 11:39:39,female
2013-01-07 11:39:56,female
2013-01-07 11:43:19,female
2013-01-07 11:44:48,male
2013-01-07 11:47:53,male
2013-01-07 11:48:29,male
2013-01-07 11:49:10,male
2013-01-07 11:49:53,male
2013-01-07 11:52:31,female
2013-01-07 11:52:39,male
2013-01-07 11:53:50,female
2013-01-07 11:55:25,female
2013-01-07 11:57:26,male
2013-01-07 11:57:55,male
2013-01-07 11:59:25,female
2013-01-07 11:59:43,male
2013-01-07 11:59:58,female
